X,Y,Major,Minor,Rotation,EFT:n,EFT:Jaqqard
33,33,30,15,16,1,0.54083
33,33,30,12,93,1,0.65177
33,33,30,23,36,1,0.15434
33,33,30,21,56,1,0.19667
33,33,30,20,76,1,0.38981
33,33,30,24,36,1,0.19549
33,33,30,16,16,1,0.49164
33,33,30,22,56,1,0.19709
33,33,30,25,36,1,0.22857
33,33,30,13,93,1,0.63359
33,33,30,17,16,1,0.46939
33,33,30,26,36,1,0.17833
33,33,30,14,93,1,0.60886
33,33,30,27,36,1,0.19532
33,33,30,23,56,1,0.18124
33,33,30,15,93,1,0.54083
33,33,30,18,16,1,0.43385
33,33,30,21,76,1,0.31201
33,33,30,16,93,1,0.53807
33,33,30,24,56,1,0.19904
33,33,30,17,93,1,0.52349
33,33,30,28,36,1,0.24209
33,33,30,25,56,1,0.18944
33,33,30,19,16,1,0.37979
33,33,30,22,76,1,0.3375
33,33,30,30,108,1,0.23681
33,33,30,18,93,1,0.45333
33,33,30,3,107,0,1
33,33,30,26,56,1,0.17623
33,33,30,4,107,0,1
33,33,30,20,16,1,0.37179
33,33,30,19,93,1,0.45814
33,33,30,23,76,1,0.27469
33,33,30,5,107,0,1
33,33,30,20,93,1,0.3906
33,33,30,29,36,1,0.25
33,33,30,6,107,0,1
33,33,30,27,56,1,0.1902
33,33,30,24,76,1,0.27951
33,33,30,21,16,1,0.32792
33,33,30,7,107,0,1
33,33,30,21,93,1,0.38506
33,33,30,22,16,1,0.29448
33,33,30,8,107,0,1
33,33,30,25,76,1,0.21221
33,33,30,9,107,0,1
33,33,30,28,56,1,0.22778
33,33,30,22,93,1,0.31839
33,33,30,23,16,1,0.29104
33,33,30,26,76,1,0.20315
33,33,30,10,107,1,0.76401
33,33,30,24,16,1,0.25598
33,33,30,11,107,1,0.63443
33,33,30,23,93,1,0.30904
33,33,30,27,76,1,0.17039
33,33,30,25,16,1,0.25963
33,33,30,26,16,1,0.20671
33,33,30,12,107,1,0.61932
33,33,30,29,56,1,0.21514
33,33,30,27,16,1,0.20699
33,33,30,13,107,1,0.57467
33,33,30,14,107,1,0.54784
