N,SNR-Theoretical,SNR-Real,POD:Jaqqard,POD:Time,PODH:Jaqqard,PODH:Time,Hough:Jaqqard,Hough:Time
7,3,7.8181,0.98325,6.1272,0.98355,16.369,0.99445,676.2705
8,3,7.9058,0.98326,6.1378,0.98329,15.3445,0.99156,828.4872
9,3,7.7229,0.98304,6.1091,0.98323,12.9435,0.99089,462.885
10,3,7.4727,0.98333,6.2319,0.98358,14.7042,0.99479,709.8135
1,2,7.3995,0.98331,6.0758,0.98353,15.4029,1,611.086
2,2,7.3885,0.98279,6.0665,0.98346,12.8414,0.99442,622.6035
3,2,7.287,0.98351,5.8503,0.98319,15.5035,0.97437,431.0088
4,2,7.423,0.98295,5.7987,0.9833,14.6579,1,379.8027
5,2,7.3665,0.98328,5.8354,0.98359,14.7409,0.95398,423.8087
6,2,7.371,0.98319,5.8753,0.98359,14.7134,0.94687,778.5117
7,2,7.348,0.98365,5.8851,0.98351,15.0398,0.9903,514.1218
8,2,7.3251,0.98337,5.969,0.98357,14.9393,0.99883,509.7443
9,2,7.2977,0.9829,5.9483,0.98357,15.0519,0.93401,713.6109
10,2,7.3729,0.98352,6.0917,0.98328,15.6658,0.99553,544.3567
1,1,7.183,0.98354,6.0153,0.98341,15.42,0.96236,677.6717
2,1,7.33,0.98269,6.2501,0.98329,15.4925,0.96496,513.3423
3,1,7.407,0.98321,6.3747,0.98304,15.5058,0.97643,622.7196
4,1,7.2267,0.98332,6.2538,0.98352,16.1883,0.99658,539.588
5,1,7.3913,0.9835,6.5377,0.98352,16.038,0.98784,751.7837
6,1,7.1209,0.98294,6.1137,0.98357,15.0867,1,685.8419
7,1,7.2379,0.98318,6.8117,0.98318,16.0266,0.99662,782.1128
8,1,7.2642,0.98359,6.1284,0.98335,15.4637,0.99556,580.5844
9,1,7.2533,0.9831,6.2725,0.98364,15.8396,0.95171,747.4408
10,1,7.0401,0.98332,6.3991,0.98358,15.4521,0.99985,597.4584
1,0,7.0173,0.98322,6.5366,0.98347,16.1025,0.9727,503.5349
2,0,7.0683,0.98331,6.3519,0.98335,16.2731,0.9869,623.9549
3,0,7.1413,0.9833,6.2357,0.98355,15.5977,0.89416,716.4889
4,0,7.172,0.98339,6.1368,0.98372,15.8468,0.98467,554.5836
5,0,7.0768,0.98297,6.2513,0.98353,15.6659,0.97777,579.8608
6,0,7.0901,0.98352,6.0728,0.98368,15.4476,0.97307,795.5908
7,0,7.0072,0.98334,6.0644,0.98336,15.4387,0.99439,655.6791
8,0,7.2101,0.98336,6.3781,0.98321,14.0142,0.99329,735.4752
9,0,6.9799,0.9833,6.3109,0.98343,16.8136,0.98662,418.111
10,0,7.0835,0.98317,6.1841,0.98336,13.5308,0.99729,630.2301
